CONFIG,seed=123456789,taps=11
H,tick,birdX,birdY,velY,rotation,rotVel,rotAccel,gravity,hit,idle,score,landX,p1x,p1y,p2x,p2y,p3x,p3y,speed,warmup,rngY,rngZ
START,seed=123456789,rngY=118540483,rngZ=-1911680585
S,144,80,0,0.70000017,-20.0,-2.4000006,0.4,0.3,false,false,0,-14,260,220,417,232,574,183,2,0,106633547,-1948960463
S,145,80,1,1.0000002,-20.0,-2.0000005,0.4,0.3,false,false,0,-16,258,220,415,232,572,183,2,0,106633547,-1948960463
S,146,80,2,1.3000002,-20.0,-1.6000005,0.4,0.3,false,false,0,-18,256,220,413,232,570,183,2,0,106633547,-1948960463
S,147,80,3,1.6000001,-20.0,-1.2000005,0.4,0.3,false,false,0,-20,254,220,411,232,568,183,2,0,106633547,-1948960463
S,148,80,4,1.9000001,-20.0,-0.80000055,0.4,0.3,false,false,0,-22,252,220,409,232,566,183,2,0,106633547,-1948960463
S,149,80,6,2.2,-20.0,-0.40000054,0.4,0.3,false,false,0,0,250,220,407,232,564,183,2,0,106633547,-1948960463
S,150,80,8,2.5,-20.0,-5.364418E-7,0.4,0.3,false,false,0,-2,248,220,405,232,562,183,2,0,106633547,-1948960463
S,151,80,10,2.8,-20.0,0.39999947,0.4,0.3,false,false,0,-4,246,220,403,232,560,183,2,0,106633547,-1948960463
S,152,80,13,3.1,-19.6,0.7999995,0.4,0.3,false,false,0,-6,244,220,401,232,558,183,2,0,106633547,-1948960463
S,153,80,16,3.3999999,-18.800001,1.1999995,0.4,0.3,false,false,0,-8,242,220,399,232,556,183,2,0,106633547,-1948960463
S,154,80,19,3.6999998,-17.600002,1.5999994,0.4,0.3,false,false,0,-10,240,220,397,232,554,183,2,0,106633547,-1948960463
S,155,80,23,3.9999998,-16.000004,1.9999994,0.4,0.3,false,false,0,-12,238,220,395,232,552,183,2,0,106633547,-1948960463
S,156,80,27,4.2999997,-14.000005,2.3999994,0.4,0.3,false,false,0,-14,236,220,393,232,550,183,2,0,106633547,-1948960463
S,157,80,31,4.6,-11.600005,2.7999995,0.4,0.3,false,false,0,-16,234,220,391,232,548,183,2,0,106633547,-1948960463
S,158,80,35,4.9,-8.800006,3.1999996,0.4,0.3,false,false,0,-18,232,220,389,232,546,183,2,0,106633547,-1948960463
S,159,80,40,5.2000003,-5.600006,3.5999997,0.4,0.3,false,false,0,-20,230,220,387,232,544,183,2,0,106633547,-1948960463
S,160,80,45,5.5000005,-2.0000064,3.9999998,0.4,0.3,false,false,0,-22,228,220,385,232,542,183,2,0,106633547,-1948960463
S,161,80,50,5.8000007,1.9999933,4.3999996,0.4,0.3,false,false,0,0,226,220,383,232,540,183,2,0,106633547,-1948960463
I,162
S,162,80,45,-4.7,-8.000007,-9.6,0.4,0.3,false,false,0,-2,224,220,381,232,538,183,2,0,106633547,-1948960463
S,163,80,40,-4.3999996,-17.600006,-9.200001,0.4,0.3,false,false,0,-4,222,220,379,232,536,183,2,0,106633547,-1948960463
S,164,80,35,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-6,220,220,377,232,534,183,2,0,106633547,-1948960463
S,165,80,31,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-8,218,220,375,232,532,183,2,0,106633547,-1948960463
S,166,80,27,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-10,216,220,373,232,530,183,2,0,106633547,-1948960463
S,167,80,23,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,-12,214,220,371,232,528,183,2,0,106633547,-1948960463
S,168,80,20,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-14,212,220,369,232,526,183,2,0,106633547,-1948960463
S,169,80,17,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-16,210,220,367,232,524,183,2,0,106633547,-1948960463
S,170,80,14,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-18,208,220,365,232,522,183,2,0,106633547,-1948960463
S,171,80,12,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-20,206,220,363,232,520,183,2,0,106633547,-1948960463
S,172,80,10,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-22,204,220,361,232,518,183,2,0,106633547,-1948960463
S,173,80,8,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,0,202,220,359,232,516,183,2,0,106633547,-1948960463
S,174,80,6,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-2,200,220,357,232,514,183,2,0,106633547,-1948960463
S,175,80,5,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-4,198,220,355,232,512,183,2,0,106633547,-1948960463
S,176,80,4,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-6,196,220,353,232,510,183,2,0,106633547,-1948960463
S,177,80,3,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-8,194,220,351,232,508,183,2,0,106633547,-1948960463
S,178,80,3,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-10,192,220,349,232,506,183,2,0,106633547,-1948960463
S,179,80,3,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,-12,190,220,347,232,504,183,2,0,106633547,-1948960463
